timestep  requested_torque  pendulum_angle
       0          0.000000        3.141593
       1          0.000000        3.141593
       2          0.000000        3.141593
       3          0.000000        3.141593
       4          0.000000        3.141593
       5          0.000000        3.141593
       6          0.000000        3.141593
       7          0.000000        3.141593
       8          0.000000        3.141593
       9          0.000000        3.141593
      10          0.000000        3.141593
      11          0.000000        3.141593
      12          0.000000        3.141593
      13          0.000000        3.141593
      14          0.000000        3.141593
      15          0.000000        3.141593
      16         -1.279782        3.181586
      17         -3.077724        3.257756
      18         -3.903805        3.321619
      19         -4.323221        3.366602
      20         -4.395444        3.391279
      21         -4.155971        3.396057
      22         -3.655161        3.382716
      23         -2.956308        3.354130
      24         -2.129508        3.313934
      25         -1.245588        3.266159
      26         -0.370964        3.214901
      27          0.436241        3.164024
      28          1.128899        3.116933
      29          1.672577        3.076405
      30          2.046374        3.044480
      31          2.242948        3.022405
      32          2.267722        3.010631
      33          2.137282        3.008861
      34          1.877107        3.016148
      35          1.518852        3.031026
      36          1.097427        3.051669
      37          0.648221        3.076057
      38          0.204623        3.102133
      39         -0.204005        3.127953
      40         -0.553836        3.151800
      41         -0.827550        3.172274
      42         -1.014793        3.188352
      43         -1.112137        3.199419
      44         -1.122594        3.205261
      45         -1.054736        3.206042
      46         -0.921528        3.202249
      47         -0.738982        3.194629
      48         -0.524728        3.184107
      49         -0.296644        3.171705
      50         -0.071622        3.158463
      51          0.135468        3.145365
      52          0.312561        3.133281
      53          0.450906        3.122918
      54          0.545299        3.114793
      55          0.594057        3.109215
      56          0.598760        3.106289
      57          0.563797        3.105929
      58          0.495768        3.107887
      59          0.402805        3.111781
      60          0.293851        3.117142
      61          0.177976        3.123452
      62          0.063742        3.130182
      63         -0.041312        3.136834
      64         -0.131079        3.142966
      65         -0.201132        3.148221
      66         -0.248853        3.152338
      67         -0.273406        3.155160
      68         -0.275614        3.156636
      69         -0.257716        3.156810
      70         -0.223075        3.155810
      71         -0.175820        3.153828
      72         -0.120495        3.151105
      73         -0.061698        3.147903
      74         -0.003774        3.144490
      75          0.049456        3.141119
      76          0.094899        3.138013
      77          0.130316        3.135355
      78          0.154387        3.133276
      79          0.166696        3.131854
      80          0.167667        3.131116
      81          0.158446        3.131038
      82          0.140742        3.131556
      83          0.116656        3.132570
      84          0.088494        3.133960
      85          0.058592        3.135592
      86          0.029153        3.137330
      87          0.002115        3.139045
      88         -0.020957        3.140625
      89         -0.038931        3.141976
      90         -0.051139        3.143034
      91         -0.057377        3.143757
      92         -0.057862        3.144133
      93         -0.053179        3.144174
      94         -0.044199        3.143913
      95         -0.031990        3.143400
      96         -0.017722        3.142697
      97         -0.002581        3.141872
      98          0.012314        3.140994
      99          0.025982        3.140128
     100          0.037630        3.139332
     101          0.046686        3.138651
     102          0.052812        3.138120
     103          0.055907        3.137759
     104          0.056084        3.137575
     105          0.053641        3.137560
     106          0.049020        3.137698
     107          0.042766        3.137964
     108          0.035472        3.138326
     109          0.027740        3.138749
     110          0.020136        3.139200
     111          0.013163        3.139643
     112          0.007219        3.140052
     113          0.002592        3.140401
     114         -0.000546        3.140674
     115         -0.002145        3.140861
     116         -0.002264        3.140958
     117         -0.001054        3.140969
     118          0.001259        3.140903
     119          0.004398        3.140771
     120          0.008063        3.140592
     121          0.011948        3.140381
     122          0.015764        3.140156
     123          0.019258        3.139935
     124          0.022228        3.139733
     125          0.024527        3.139560
     126          0.026071        3.139426
     127          0.026834        3.139336
     128          0.026845        3.139291
     129          0.026183        3.139290
     130          0.024963        3.139329
     131          0.023324        3.139400
     132          0.021421        3.139495
     133          0.019406        3.139607
     134          0.017429        3.139725
     135          0.015616        3.139841
     136          0.014070        3.139948
     137          0.012866        3.140040
     138          0.012045        3.140112
     139          0.011621        3.140162
     140          0.011578        3.140188
     141          0.011876        3.140193
     142          0.012457        3.140177
     143          0.013250        3.140145
     144          0.014177        3.140101
     145          0.015160        3.140048
     146          0.016123        3.139992
     147          0.017001        3.139937
     148          0.017744        3.139887
     149          0.018313        3.139845
     150          0.018687        3.139812
     151          0.018860        3.139791
     152          0.018840        3.139782
     153          0.018647        3.139784
     154          0.018311        3.139796
     155          0.017867        3.139817
     156          0.017357        3.139843
     157          0.016817        3.139874
     158          0.016289        3.139907
     159          0.015804        3.139938
     160          0.015389        3.139968
     161          0.015062        3.139993
     162          0.014833        3.140014
     163          0.014707        3.140028
